id,longitude,latitude,address,postcode,comments,status
1563,-1.664528,53.817094,Springfield Commercial Centre Pudsey West Yorkshire,LS28 5LY,Charged via prior appointment only whilst visiting client on site. Very useful facility to have for destination charging.,['Unknown status']
1563,-1.664528,53.817094,Springfield Commercial Centre Pudsey West Yorkshire,LS28 5LY,"I have just got a electric car, how do I pay at this point?",['Unknown status']
1563,-1.664528,53.817094,Springfield Commercial Centre Pudsey West Yorkshire,LS28 5LY,All good. Hard to find (it's next to Tarte & Berry and Leeds Karate Academy). On site cafe closed all week though :(,['Unknown status']
2451,-1.665348,53.803221,7 Richardshaw Lane Pudsey West Yorkshire,LS28 6BN,"Admin, location type 'restaurant' please",['Unknown status']
2451,-1.665348,53.803221,7 Richardshaw Lane Pudsey West Yorkshire,LS28 6BN,Charger bay blocked by staff vehicles when I had food here,['Unknown status']
2451,-1.665348,53.803221,7 Richardshaw Lane Pudsey West Yorkshire,LS28 6BN,Successful charge and successful coffee,['Unknown status']
2451,-1.665348,53.803221,7 Richardshaw Lane Pudsey West Yorkshire,LS28 6BN,Great place and people.,['Unknown status']
3102,-1.569375,53.78715,Domestic Road Leeds West Yorkshire,LS12 6HG,Another one thats opening hours only,"['Unknown status', 'Unknown status']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,"Checked in on BP Pulse app. Failed first time, worked on second attempt.","['Available', 'Available', 'Available', 'Charging']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,"I'd like to assure you, this was a temporary issue caused by our recent server migration. Having looked into this further, I can see this charging unit is back online and in full working order. Marty^","['Available', 'Available', 'Available', 'Charging']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,Device A charges for few seconds and then stops,"['Available', 'Available', 'Available', 'Charging']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,DPD loves this charge point. They blocked three chargers and the final one is ICEd...,"['Available', 'Available', 'Available', 'Charging']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,Got 6.6kW. Can't see any signage about maximum stay in carpark.,"['Available', 'Available', 'Available', 'Charging']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,Free with BP Pulse app,"['Available', 'Available', 'Available', 'Charging']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,Socket 2 ICE'D by Vauxhall Mokka X. Informed driver that the space is for electric car charging and she just said 'yep' and walked into the store! Totally arrogant with no respect to electric car drivers.,"['Available', 'Available', 'Available', 'Charging']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,#bppulse successful charge 👍,"['Available', 'Available', 'Available', 'Charging']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,"Unable to start a charge via the app. When trying again, app immediately says there’s an error.","['Available', 'Available', 'Available', 'Charging']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,Report on Twitter mentioning Asda Leeds city council and Bp pulse,"['Available', 'Available', 'Available', 'Charging']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,"All 4 ICED, had to ask if they'd c move. Wouldn't have minded but with kids they have the family spaces to use","['Available', 'Available', 'Available', 'Charging']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,ICED by an idiot in a Range Rover,"['Available', 'Available', 'Available', 'Charging']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,Iced by a polo,"['Available', 'Available', 'Available', 'Charging']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,Today 1pm all 4 bays ICE went to aldi!,"['Available', 'Available', 'Available', 'Charging']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,2bays iced,"['Available', 'Available', 'Available', 'Charging']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,"All good, right at the front of store and coned off... spot on!","['Available', 'Available', 'Available', 'Charging']"
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ,Working and cones out presumably to stop ice parking here - so all good !,"['Available', 'Available', 'Available', 'Charging']"
